folder,filename_expected,title,year,doc_type,category,url,url_status,notes
01_OC_CCAR,Okanagan_College_CCAR_2008.pdf,Okanagan College Climate Change Accountability Report 2008,2008,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2008/ps/okanagan_college.pdf,VERIFIED,no year suffix in provincial filename; submitted 30 Jun 2009
01_OC_CCAR,Okanagan_College_CCAR_2009.pdf,Okanagan College Climate Change Accountability Report 2009,2009,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2009/ps/okanagancollege_2009.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2010.pdf,Okanagan College Climate Change Accountability Report 2010,2010,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2010/ps/okanagancollege_2010.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2011.pdf,Okanagan College Climate Change Accountability Report 2011,2011,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2011/ps/okanagancollege_2011.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2012.pdf,Okanagan College Climate Change Accountability Report 2012,2012,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2012/ps/okanagancollege_2012.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2013.pdf,Okanagan College Climate Change Accountability Report 2013,2013,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2013/ps/okanagancollege_2013.pdf,VERIFIED,survey-form format begins
01_OC_CCAR,Okanagan_College_CCAR_2014.pdf,Okanagan College Climate Change Accountability Report 2014,2014,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2014/ps/okanagancollege_2014.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2015.pdf,Okanagan College Climate Change Accountability Report 2015,2015,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2015/ps/final_okanagancollege_2015.pdf,VERIFIED,province adds final_ prefix 2015-2019
01_OC_CCAR,Okanagan_College_CCAR_2016.pdf,Okanagan College Climate Change Accountability Report 2016,2016,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2016/ps/final_okanagancollege_2016.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2017.pdf,Okanagan College Climate Change Accountability Report 2017,2017,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2017/ps/final_okanagancollege_2017.pdf,VERIFIED,
01_OC_CCAR,Okanagan_College_CCAR_2018.pdf,Okanagan College Climate Change Accountability Report 2018,2018,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2018/ps/final_okanagancollege_2018.pdf,VERIFIED,last year of un-underscored name form
01_OC_CCAR,Okanagan_College_CCAR_2019.pdf,Okanagan College Climate Change Accountability Report 2019,2019,CNAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2019/ps/final_okanagan_college_2019_overview.pdf,VERIFIED,_overview suffix unique to 2019
01_OC_CCAR,Okanagan_College_CCAR_2020.pdf,Okanagan College Climate Change Accountability Report 2020,2020,CCAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2020/okanagan_college.pdf,VERIFIED,no /ps/ sector subfolder in 2020; filename carries no year
01_OC_CCAR,Okanagan_College_CCAR_2021.pdf,Okanagan College Climate Change Accountability Report 2021,2021,CCAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2021/okanagan_college_2021_ccar.pdf,VERIFIED,no sector subfolder; first year of _ccar suffix
01_OC_CCAR,Okanagan_College_CCAR_2022.pdf,Okanagan College Climate Change Accountability Report 2022,2022,CCAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2022/uc/okanagan_college_cnar_report_2023_signed.pdf,VERIFIED,"TWO quirks: sector folder is uc not ps, and the provincial filename says 2023 while this is the 2022 report"
01_OC_CCAR,Okanagan_College_CCAR_2023.pdf,Okanagan College Climate Change Accountability Report 2023,2023,CCAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2023/ps/okanagan_college_2023_ccar.pdf,VERIFIED,sector folder returns to ps
01_OC_CCAR,Okanagan_College_CCAR_2024.pdf,Okanagan College Climate Change Accountability Report 2024,2024,CCAR,Climate-and-GHG-Reporting,https://www2.gov.bc.ca/assets/gov/environment/climate-change/cnar/2024/ps/okanagan_college_2024_ccar.pdf,VERIFIED,PDF text layer is damaged; signed by President Neil Fassina 9 Jun 2025; text extraction will need care
